timestamp,count,mean_ms,p50_ms,p95_ms
2025-11-01T23:55:44.401250130Z,147,8.386053625850339,5.8505,28.223961299999942
2025-11-01T23:55:50.026251051Z,173,66.11169629479768,6.691051,522.7103284000002
2025-11-01T23:55:55.599969732Z,169,46.31027210059172,5.841761,353.6097173999998
2025-11-01T23:56:01.167654585Z,167,40.8095747005988,6.128926,313.84081839999965
2025-11-01T23:56:06.752819466Z,168,41.65447129166666,6.8859580000000005,332.06383595000017
2025-11-01T23:56:12.353956050Z,166,41.410042740963846,6.191546499999999,319.31431175
2025-11-01T23:56:18.116519635Z,169,48.6072744852071,6.523184,392.9709303999998
2025-11-01T23:56:23.692991865Z,173,62.85501051445087,7.481901,480.3496146000002
2025-11-01T23:56:29.285605083Z,185,37.59108586486486,5.693542,299.77485199999944
2025-11-01T23:56:34.895781909Z,150,7.3602066133333315,5.233202,21.005271849999943
2025-11-01T23:56:40.443483976Z,169,45.202542094674556,6.054022,355.2159837999999
2025-11-01T23:56:45.998765361Z,166,36.557389506024094,6.138623,290.15483975
2025-11-01T23:56:51.573207965Z,167,39.73718301796407,5.88269,324.6836426999996
2025-11-01T23:56:57.163388710Z,167,39.70425494011977,6.269355,318.9922002999997
2025-11-01T23:57:02.734332063Z,168,44.132644964285724,5.532526,355.4185563500002
2025-11-01T23:57:08.306016204Z,166,39.14860176506024,6.4113455,304.790683
2025-11-01T23:57:13.905520454Z,187,42.26959245454545,6.001061,344.00819849999965
2025-11-01T23:57:19.470881948Z,149,6.916688369127523,5.486008,10.9032656
